Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Dus4l,[0.20740696 1.23164622 5.94038074],[0.20740696 0.1267609  0.32235587],[4.82312261 2.75320663 8.77495743],0.86
Dusp1,[0.34829225 2.04624222 5.13978346],[0.34829225 0.17836074 0.62386345],[2.51181576 1.16707899 5.86986131],0.75
Dusp11,[0.41415233 1.86456695 4.68711413],[0.41415233 0.22650882 0.76129836],[2.51378162 1.10818351 5.49753874],0.85
Dusp12,[  0.97787259 172.21925792 341.1078579 ],[0.97787259 0.76917985 1.26147395],[1.98066036 1.50183227 2.60868439],1.93
Dusp16,[ 0.69361312  3.79844772 12.75721816],[0.69361312 0.49113131 1.04580931],[3.35853462 1.8863184  5.48296065],1.97
Dusp19,[0.15824351 1.11426551 7.74879065],[0.15824351 0.10205983 0.23536878],[ 6.95416897  4.20218853 11.85587757],0.96
Dusp27,[0.03598438 0.86733924 6.54777093],[0.03598438 0.01512546 0.07656663],[ 7.54926171  2.99334249 19.83932729],0.26
Dusp28,[0.00576318 0.45089592 5.20353467],[0.00028816        nan        nan],[11.54043413         nan         nan],0.07
Dusp4,[0.04497397 2.16549454 3.14211415],[0.0022487       nan       nan],[1.45099149        nan        nan],0.06
Dusp6,[0.0997579  1.61044008 5.33299682],[0.0997579  0.04330124 0.19243157],[3.3115152  1.51962809 8.37449114],0.31
Dusp7,[0.04940222 0.4428582  1.62074316],[6.9388939e-18           nan           nan],[3.65973385        nan        nan],0.16
Dut,[ 1.95439974  6.74700313 65.05966029],[1.95439974 1.54861551 2.54381928],[ 9.64274939  6.17669311 13.71460271],14.61
Dvl1,[ 0.47376542  5.56495255 16.14495696],[0.47376542 0.32851594 0.6873536 ],[2.90118502 1.83127623 4.75512457],1.27
Dym,[0.40747472 0.95750492 3.09639134],[0.40747472 0.07555614 1.00219765],[3.23381245        nan        nan],0.92
Dync1h1,[ 1.84674415  4.69933091 20.30715171],[1.84674415 1.3252456  2.83405285],[4.32128575 2.06228692 7.36291798],5.73
Dync1i2,[0.29336754 0.25216265 9.13212013],[0.29336754 0.19110605 0.4247604 ],[36.21519782 22.12633473 63.48703344],4.91
Dync1li2,[ 0.86388594  6.01247148 11.81244963],[0.86388594 0.54322836 1.37134691],[1.96465791 1.06967966 3.86118235],1.48
Dync2h1,[0.09402065 0.48224906 6.50743525],[0.09402065 0.05440234 0.14953538],[13.49393041  7.67350801 25.31558648],1.06
Dynll2,[ 0.87419125  3.19542033 20.19595836],[0.87419125 0.67424139 1.16251241],[6.32028224 4.07676344 9.19147602],4.34
Dynlrb1,[ 0.88738057  3.47503615 22.19459261],[0.88738057 0.68774839 1.16324459],[6.38686668 4.26266971 9.21176022],4.51
Dyrk3,[0.91620283 2.19235943 7.55055343],[0.91620283 0.60578973 1.47485178],[3.44403082 1.63227974 6.3696227 ],2.23
E030011O05Rik,[0.0384281  0.22939631 1.        ],[0.00192141        nan        nan],[4.3592681       nan       nan],0.14
E130012A19Rik,[ 1.31837444  1.55132696 20.63421242],[1.31837444 1.01720439 1.72895648],[13.30100808  8.69429263 19.6337209 ],9.48
E130308A19Rik,[ 0.24425543 22.22536456 60.31654818],[0.24425543 0.15298774 0.33844229],[2.71386091 1.83496781 4.11013379],0.66
E130309D02Rik,[0.1317962  0.19856911 1.        ],[5.55111512e-17            nan            nan],[5.03603006        nan        nan],0.4
E130311K13Rik,[0.03073379 0.23291759 3.75086859],[0.00153669        nan        nan],[16.10384419         nan         nan],0.44
E130317F20Rik,[0.07004294 0.57791876 1.81234034],[1.38777878e-17            nan            nan],[3.13597772        nan        nan],0.2
E2f1,[ 0.84189942  3.07113108 11.44991076],[0.84189942 0.59455845 1.26342299],[3.72823903 1.98719831 6.19284544],2.46
E2f3,[0.32477322 1.34177943 5.13957095],[0.32477322 0.17504575 0.58016909],[3.83041417 1.76643186 8.37476296],1.0
E2f4,[ 1.43611373  6.30910334 12.8420909 ],[1.43611373 0.90647471 2.37877238],[2.0354859  1.02849876 4.18769564],2.38
E2f8,[0.25976361 0.86221311 1.5844513 ],[1.11022302e-16            nan            nan],[1.83765625        nan        nan],0.37
E430025E21Rik,[ 1.3436917   9.47860486 11.31130317],[1.3436917  0.70792008 2.31097403],[1.19335106 0.60520268 3.23565567],1.4
E4f1,[ 0.4058523 18.3850328 33.7355738],[0.42614492 0.3008621  0.58771852],[1.83494771 1.19471058 3.07800284],0.73
Eaf1,[ 0.30500027  0.53876382 13.80270953],[0.30500027 0.18539593 0.45129282],[25.61922136 14.85674695 51.05511333],4.99
Eapp,[0.31952969 0.37835168 9.52726277],[0.31952969 0.22928223 0.44006404],[25.18097118 16.34561114 38.84099307],4.36
Ears2,[0.36577384 1.50244706 6.19495205],[0.36577384 0.2356855  0.57065459],[4.1232415  2.25691784 7.28248468],1.21
Ebf1,[  0.36535176 157.86256528 307.1481121 ],[0.54802764 0.38578025 0.81318661],[1.12848733 0.73184931 1.70929435],0.71
Ebna1bp2,[ 1.31751856  2.5767937  23.61017633],[1.31751856 1.01875764 1.74462361],[ 9.16261799  5.81643656 13.51658451],7.99
Ebpl,[ 0.78629472  5.25448038 10.33078683],[0.78629472 0.49313294 1.27996858],[1.96609104 1.05002647 3.83429655],1.34
Ecd,[ 0.96655716 10.32896244 23.6283953 ],[0.96655716 0.65067607 1.37828412],[2.28758653 1.44225716 4.14795947],2.02
Ech1,[  2.22814776 220.42152079 241.56053623],[2.22814776 1.71045436 3.1135987 ],[1.0630256  0.77890737 1.45177609],2.42
Echdc1,[0.18356368 1.23685597 2.81910459],[0.00917818        nan        nan],[2.27925049        nan        nan],0.36
Echdc2,[  1.59462094  94.19989082 763.71923447],[1.59462094 1.35203468 1.90654618],[8.10743227 6.79671259 9.76785043],12.71
Echs1,[ 3.09391074 14.09643004 19.68515652],[3.09391074 1.735693   5.25225835],[1.39646396 0.67968615 3.77927752],3.54
Eci1,[0.60849645 2.56952574 9.4513941 ],[0.60849645 0.38442555 0.94761733],[3.67826403 1.95921132 7.11065272],1.81
Eci2,[0.0380458  0.07606054 1.03295774],[6.9388939e-18           nan           nan],[12.76588676         nan         nan],0.34
Ecm1,[0.02589573 0.52497613 4.24032798],[0.02589573 0.00551976 0.05711256],[8.07718252        nan        nan],0.2
Ecscr,[  0.15941206  91.10056878 117.07620414],[0.15941206 0.09474456 0.28192717],[1.28513143 0.66936515 2.5221354 ],0.2
Ecsit,[0.66006606 2.75166457 6.39229525],[0.66006606 0.37270784 1.17809999],[2.32306485 1.04152861 5.21451711],1.24
Edc4,[0.28420004 0.91313475 2.85054237],[0.01421     nan     nan],[3.12171053        nan        nan],0.68
Edem2,[0.35058411 1.50125395 7.69096817],[0.35058411 0.24800485 0.50149692],[5.12302945 3.15950117 8.03036829],1.46
Edem3,[  0.23026744 165.82061163 225.56529546],[0.23026744 0.17083214 0.37112964],[1.36029709 0.77542623 2.49574546],0.31
Eea1,[ 0.42694995  3.29252386 12.37403145],[0.42694995 0.2914631  0.65910854],[3.75822074 2.08316551 6.26816717],1.42
Eed,[ 1.62763079  1.258219   14.5859835 ],[1.62763079 1.14006254 2.37045509],[11.59256335  6.2138054  20.68252768],8.23
