Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Porcn,[0.10997635 0.76502526 2.54174866],[1.38777878e-17            nan            nan],[3.32243756        nan        nan],0.32
Ppp1r3f,[2.35528069e-02 3.55444174e+01 1.22085557e+02],[0.02590809 0.01449106 0.04284915],[ 3.84690012  1.5888612  11.80087219],0.08
Pqbp1,[ 0.62050623  1.68322588 18.18954823],[0.62050623 0.48564533 0.79293625],[10.80636205  7.59021588 15.28612596],4.9
Praf2,[  1.83073554 281.36343022 506.18128113],[2.0138091  1.63713236 2.54650874],[1.58314649 1.25520913 2.02061067],3.27
Prdx4,[  1.73489819  25.93291451 175.55893664],[1.73489819 1.38567472 2.1341033 ],[6.76973414 5.30601293 9.62644163],11.01
Prickle3,[ 0.33616368 85.76417858 85.92776805],[0.33616368 0.22437447 0.53152192],[1.00190743 0.60302616 1.62795856],0.34
Prkx,[ 0.43670627 15.6239772  21.84255023],[0.43670627 0.21722903 0.66602983],[1.39801473 0.86369873 3.49834054],0.59
Prps1,[ 0.97709954  6.24604029 26.62674132],[0.97709954 0.74949176 1.32667405],[4.26297944 2.76438941 6.34149286],3.6
Prps2,[  1.05124664  95.22770494 135.51585069],[1.05124664 0.81362617 1.39089889],[1.42307169 1.05896461 1.89698203],1.48
Prrg1,[ 0.10471244 19.23582174 21.71741139],[0.10471244 0.06787895 0.27962394],[1.12900877 0.52272892 2.46786646],0.12
Psmd10,[ 0.92085262  2.52892024 38.73828714],[0.92085262 0.76719211 1.111833  ],[15.31811345 11.57126906 20.07980894],10.34
Rab33a,[8.03762392e-03 4.69989766e+01 9.59954473e+01],[0.00763574 0.00170333 0.03286936],[2.53270099        nan        nan],0.02
Rab39b,[0.21109822 0.79609786 7.42144943],[0.21109822 0.14027298 0.30397181],[ 9.3222829   5.82112778 15.53331536],1.56
Rab9,[ 1.45171757 10.89552741 42.47958059],[1.45171757 1.07232616 1.98073793],[3.89880902 2.49920879 6.24278929],4.99
Rbbp7,[ 0.81556018  1.5819332  58.82858027],[0.81556018 0.59204162 1.11726426],[37.18777769 24.44039882 55.90692066],20.01
Rbm3,[ 0.10214287  0.28904849 28.38308184],[0.10214287 0.04913513 0.18789249],[ 98.19487933  47.18462507 228.48665352],7.41
Rbm41,[ 0.07265159 23.24997925 46.65437971],[0.00363258        nan        nan],[2.00664178 0.84985648 5.4157241 ],0.15
Rbmx,[6.80985361e-01 4.52788866e+02 1.07962146e+03],[0.71503463 0.6125804  0.90247393],[2.24131874 1.70622536 2.87896104],1.62
Rbmx2,[ 0.22243679  5.4330806  29.20689659],[0.22243679 0.16591142 0.29940157],[5.3757525  3.73631181 7.93224141],1.15
Renbp,[ 0.22743861  0.93290021 20.5996752 ],[0.22743861 0.18440504 0.27647853],[22.0813276  16.99193471 29.16335332],4.04
