Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Ndufb10,[ 2.48813655 12.0986738  67.09982703],[2.36372973 1.81382186 3.40319738],[5.878811   3.50208642 9.29689874],11.45
Ndufb11,[ 3.02146048  8.35664428 50.61979434],[3.02146048 2.22559913 4.34285348],[ 6.05743079  3.20188451 10.09959952],13.44
Ndufb2,[ 1.24091277  3.31560935 20.57677452],[1.24091277 0.94148715 1.68795734],[6.20603103 3.78001024 9.4330691 ],5.6
Ndufb3,[ 3.10759542  8.30515356 12.54248539],[3.10759542 1.62258522 6.21237109],[1.51020511 0.5539263  4.70327405],3.42
Ndufb5,[ 0.34653178  0.39276395 16.86499992],[0.12128612 0.06353693 0.20340547],[170.46892993          nan          nan],7.91
Ndufb6,[  2.41051659  28.85844206 174.11153882],[2.16946493 1.72135189 2.86404394],[ 7.48128772  4.70927235 10.66829788],13.42
Ndufb8,[ 3.18262725  8.62469895 87.98350935],[3.18262725 2.43682741 4.36863902],[10.20134266  5.93162468 15.65474221],23.72
Ndufc1,[   4.6000185   412.91776498 1562.64027464],[4.6000185  3.84850052 5.51912507],[3.78438616 3.13941334 4.58043122],17.22
Ndufc2,[ 1.17273504  1.19549527 14.22229388],[1.17273504 0.86941514 1.60368831],[11.89657062  7.21243265 18.94471436],7.04
Ndufs1,[ 0.64892737  2.01958141 13.35614302],[0.64892737 0.47893221 0.87418864],[ 6.61332241  4.29969437 10.26067141],3.25
Ndufs2,[ 0.48795099  0.68616447 28.54714205],[0.48795099 0.37904979 0.61476106],[41.60393524 30.53148992 58.77088534],11.86
Ndufs4,[ 1.75601832  4.79256708 22.8060735 ],[1.75601832 1.27344046 2.57713019],[4.75863417 2.4725722  7.94874174],6.12
Ndufs6,[ 1.85988661  2.76964826 44.04460202],[1.85988661 1.47815095 2.38060154],[15.90259768 10.60517969 22.53894472],17.69
Ndufs8,[ 0.83297224  1.98148541 16.49020429],[0.83297224 0.64522956 1.08578949],[ 8.32214267  5.62013286 12.01399901],4.88
Ndufv1,[ 0.81764985  1.0608388  11.68972226],[0.81764985 0.61650472 1.09154511],[11.01932009  7.20616753 16.53938076],5.09
Ndufv2,[  3.14543803  33.04661872 120.21593695],[3.14543803 2.23612631 4.14911353],[3.63776815 2.56864596 6.44003411],10.45
Ndufv3,[  2.78569418  26.53821067 124.64888382],[2.78569418 2.06733553 3.62768333],[4.41514133 3.24167883 7.7221915 ],11.84
Neat1,[4.58185054e-01 8.93227072e+01 6.30847525e+02],[0.45818505 0.37944631 0.55601004],[7.06256611 5.52753272 9.14142572],3.22
Necap2,[ 1.283402   28.37035465 44.6766113 ],[1.3475721  0.85678475 1.81058235],[1.52752102 1.05388039 2.91258163],1.93
Nedd4,[ 2.69330242  3.83538455 55.91955517],[2.69330242 2.08639549 3.56912943],[14.57990832  9.00996016 21.75299794],23.07
Nedd8,[ 1.50036576  2.43967456 25.87086883],[1.50036576 1.16002346 1.97130041],[10.60422944  6.85281683 15.68558017],9.85
Nefh,[ 0.02701314  1.71682257 17.88970555],[0.02701314 0.01357228 0.05279261],[10.42024137  4.25581571 26.62810119],0.28
